count,timePeriod
0,2020-05-02-00-00
0,2020-05-02-01-00
0,2020-05-02-02-00
0,2020-05-02-03-00
0,2020-05-02-04-00
0,2020-05-02-05-00
0,2020-05-02-06-00
0,2020-05-02-07-00
0,2020-05-02-08-00
0,2020-05-02-09-00
0,2020-05-02-10-00
0,2020-05-02-11-00
0,2020-05-02-12-00
0,2020-05-02-13-00
0,2020-05-02-14-00
0,2020-05-02-15-00
391,2020-05-02-16-00
238,2020-05-02-17-00
299,2020-05-02-18-00
412,2020-05-02-19-00
348,2020-05-02-20-00
2121,2020-05-02-21-00
3313,2020-05-02-22-00
2135,2020-05-02-23-00
1450,2020-05-03-00-00
1147,2020-05-03-01-00
952,2020-05-03-02-00
823,2020-05-03-03-00
557,2020-05-03-04-00
398,2020-05-03-05-00
272,2020-05-03-06-00
255,2020-05-03-07-00
178,2020-05-03-08-00
191,2020-05-03-09-00
211,2020-05-03-10-00
329,2020-05-03-11-00
360,2020-05-03-12-00
341,2020-05-03-13-00
325,2020-05-03-14-00
377,2020-05-03-15-00
246,2020-05-03-16-00
227,2020-05-03-17-00
204,2020-05-03-18-00
173,2020-05-03-19-00
168,2020-05-03-20-00
156,2020-05-03-21-00
143,2020-05-03-22-00
110,2020-05-03-23-00
